0,"You enjoy the way smoking calms you, but dislike the smell. You want to make a conscious choice to quit smoking as you realize that smoking is harmful to your health and you are determined to make changes to improve your appearance. You realize that making changes will require your willpower.",1,1
1,"You enjoy the feeling of calm and relaxation that smoking gives you, but dislike the smell. Although you want to make a change in your smoking habit, you realize that it will require a lot of discipline and persistence. To make this change, you need to find other ways to stay busy and keep yourself occupied, besides smoking.",1,1
2,"You enjoy the relief that smoking provides you, but are aware of the health risks associated with smoking and are concerned about your own health. You would like to stop smoking among your friends and will stop smoking completely to accomplish this. You realize that you need to replace smoking with nicotine replacement therapy (NRT), such as taking nicotine tablets.",1,1
3,"You enjoy the smell of cigarettes but dislike the effects it has on your breathing and the unpleasantness of having a cough. You want to stop smoking altogether and don't know how to replace it with something else. You need a substitute, and believe that your current habit is causing harm.",1,1
4,"You enjoy the taste of tobacco and are looking for ways to relax, but you are also concerned about the health effects of smoking. You'd like to reduce the number of cigarettes you smoke and you believe that by making changes to your smoking habit, you will be able to improve your health and smell. You realize that making this change will require discipline.",1,1
5,"You enjoy the taste of tobacco and are looking for ways to relax, but you are concerned about the health effects of smoking. You'd like to reduce the number of cigarettes you smoke, as you believe that by making changes to your smoking habit, you will be able to improve your health and smell. You realize that making this change will require discipline.",1,1
6,"You enjoy the taste of tobacco and are looking for ways to relax, but you are concerned about the health effects of smoking. You'd like to reduce the number of cigarettes you smoke, as you believe that by making changes to your smoking habit, you will be able to improve your health and smell. You realize that making this change will require discipline.",1,1
7,"You enjoy mixing your smoking and cannabis habit together, but are aware that smoking causes serious health problems and you worry about the effect of this habit on your own health. You want to reduce the amount of cigarettes you smoke and believe that by making this change, you can improve your overall health with healthier lungs and general health. You understand that the steps you need to take to make this change is to slowly reduce the amount that you smoke, in order to quit smoking.",1,1
8,"You like the feeling that smoking gives you, but don't like that it is bad for your health. You want to reduce your smoking habit and eventually quit, and believe that by doing this your life will improve. To make this change, you need to create a detailed plan with an exact number of cigarettes that you are allowed to smoke each day.",1,1
9,"You enjoy the fact that smoking helps you cope with stressful situations, but you dislike the health effects of smoking. You want to quit smoking completely and realize that quitting smoking is a long process. You will need to find other ways to cope with your smoking habit, such as stopping smoking on nights out.",1,1
10,"You enjoy feeling happy when you smoke, but you are aware of how unpleasant cigarettes can be and are aware that this bothers you. You want to reduce the amount of cigarettes you smoke, believing making changes to your smoking habit will bring you happiness. You realize that tobacco use is a habit and you will need to make changes at first, and what are the steps you need to take to reduce your tobacco use? First, reduce, and second, definitively cut.",1,1
